,count,mean,std,min,25%,50%,75%,max
scorpio3,100.0,0.9689761708715574,1.7289644414691547,-3.5529307392032536,0.0,0.5706751905972782,2.1679438478415998,4.895159331789623
sagittarius3,100.0,0.6299785431236937,1.2269579730259619,-2.4954970125446754,0.23362925420949185,0.23362925420949185,0.757564409986383,5.629447431217479
capricorn3,100.0,0.5742987990211073,1.4002499743425811,-4.758493918457355,0.6804008803031913,0.8042414574361597,0.8042414574361597,3.3707633128052317
gemini3,100.0,0.5728936946844723,1.5643604435947738,-3.5529307392032536,-0.03371799382703037,0.1307898738038949,1.7794413377619898,4.600627393027371
aries3,100.0,0.5680945798621608,1.4758644744668024,-2.799771815334703,0.0,0.3754615164614599,1.331315753880685,4.437738297762585
taurus3,100.0,0.5272957662744243,1.5850388300219072,-5.356200537352905,0.0,0.45300961910941095,2.164039966466365,3.272848190651496
aquarius3,100.0,0.465160990402097,0.9483122013484665,-2.5321432787595426,0.35878309302997846,0.35878309302997846,0.35878309302997846,3.7259966076679643
virgo3,100.0,0.4203253019034523,1.5596595594989873,-3.5529307392032536,0.0,0.0,1.6180235807162642,3.6243423598796096
libra3,100.0,0.4186587348980343,1.9732649860991653,-5.228472133293422,-0.12149619806745765,0.0,0.741327201309479,9.065302022215727
leo3,100.0,0.4184772005364485,1.6535959535211724,-6.970090695723287,-0.07429777997134346,0.0,0.7435771725054727,7.671364792599869
pisces3,100.0,-0.13659383098220032,1.254408773117706,-4.936389299542491,0.0,0.0,0.0,3.1374332961064217
cancer3,100.0,-1.3692987170171664,2.060052161174875,-5.604004381041668,-2.3718800424294355,-0.9930257444577568,0.0,4.437738297762585
