,count,mean,std,min,25%,50%,75%,max
scorpio,100.0,1.507369034163426,2.2312612660280813,-2.8531515186039913,0.0,0.501074996872578,2.803654535357638,5.130026856275069
capricorn,100.0,1.0990973898231733,2.081911132155256,-2.713658797576004,0.0,0.0,2.498173163451297,4.778870201546199
sagittarius,100.0,1.084188918726853,1.9972165955914014,-2.7719413991651094,0.0,0.42536546058715236,2.0407905738976835,10.204202161453399
gemini,100.0,0.622123183157489,1.826073068197188,-2.8814107761372223,-0.003512975014111246,0.0,0.9581885587554834,4.97107795109929
virgo,100.0,0.41933692444422266,1.3602631030513201,-3.323164104459363,0.0,0.0,1.0719170208945614,6.384461136726468
aquarius,100.0,0.3498536541339983,1.881589566401217,-4.3817909449459185,-0.33034962854053845,0.0,1.2479354906103117,5.017401152618201
pisces,100.0,0.1960686347739276,2.104147428732412,-3.295164922387595,-0.6705514176468046,0.0,1.3022499297843884,4.667363928062695
leo,100.0,0.19444392537985117,1.008418012312785,-3.2172817178215363,0.0,0.0,0.0,5.3647597975450765
taurus,100.0,0.12419951629948944,2.1813251518365133,-3.2795594026060733,-0.8418714600499955,0.0,0.9005136432161165,5.476753705290647
libra,100.0,-0.025010914761556768,1.4327955492600537,-3.2885145093760024,-0.2800452792655755,0.0,0.16115557030988997,4.998384427930445
aries,100.0,-0.06410347379795173,0.9466606295418216,-4.053949445936582,-0.01228616924802619,0.0,0.0,2.144308817706029
cancer,100.0,-0.6518237084328241,1.1639486235518048,-5.233560430370193,-0.8331332145615605,-0.8331332145615605,0.0,2.747382574911251
