,Unnamed: 0,Unnamed: 0.1,text,user,retweets,favorites,datetime
90,90,90,"girl i’m an aquarius too, but someone harry is ALWAYS mia",sweetsabotage_,0,1,Sat Nov 07 21:06:39 +0000 2020
91,91,91,All I’m saying that Aquarius has no business dating Taurus men but here I am,vintarey,0,0,Sat Nov 07 21:06:36 +0000 2020
92,92,92,RT I think they forgot I’m an Aquarius...,rhiannahopper,28,0,Sat Nov 07 21:06:35 +0000 2020
93,93,93,RT THE WEAKEST LINKS,logic_aquarius,1216,0,Sat Nov 07 21:06:34 +0000 2020
94,94,94,"in my head aquarius, cancer and saggitarius signs simply dont exist like where tf are yall",chromechlmt,0,1,Sat Nov 07 21:06:24 +0000 2020
95,95,95,what’s the worst zodiac sign and why is it aquarius,yumekorion,0,2,Sat Nov 07 21:06:06 +0000 2020
96,96,96,Avinash is worst contestant of all seasons.. such cheap comedy...edo…,show_dude,0,0,Sat Nov 07 21:05:54 +0000 2020
97,97,97,RT I think they forgot I’m an Aquarius...,audkleinpell,28,0,Sat Nov 07 21:05:46 +0000 2020
98,98,98,"RT Pisces,Aquarius &amp;Virgo dream cabin in the woods",xtenabena,788,0,Sat Nov 07 21:05:40 +0000 2020
99,99,99,"invitation: dress casual!! wear something comfy!! scorpio, aquarius, and pisces: ah...yes.. i have just the outfit",milkstrology,12,133,Sat Nov 07 21:05:40 +0000 2020
