,Unnamed: 0,Unnamed: 0.1,text,user,retweets,favorites,datetime
39,39,39,"RT If you... If you want me, earn me... Scorpio, Capricorn, Taurus, Gemini If you love me, show me... Aries, Leo, Cance…",yesimachipmunk,114,0,Sat Nov 07 21:08:49 +0000 2020
40,40,40,Oh crap! Uranus and Saturn in 7th house in Sagittarius. Uranus squaring Jupiter in my 11th house in P…,Chrisdiellahlai,0,0,Sat Nov 07 21:08:47 +0000 2020
41,41,41,J'accorde plus d'importance à l'avis de mon chien qu'à celui d'Asselineau,Aquarius_fr,0,0,Sat Nov 07 21:08:46 +0000 2020
42,42,42,leos: ugh i just... feel so off lately idk why :( leos after gettin a haircut:,luna__aquarius,0,3,Sat Nov 07 21:08:44 +0000 2020
43,43,43,My favorite part about the (pre-contested) election “results” timing for when I found out Biden “won” (using that t…,Audiosomal,0,0,Sat Nov 07 21:08:44 +0000 2020
44,44,44,RT People don’t know that Aquarius girls are healers? Dumb ass hoes,maggsjean,86,0,Sat Nov 07 21:08:36 +0000 2020
45,45,45,RT ⠀ ⠀ ⠀ ⠀ ⠀⠀ 𝐇𝐀𝐑𝐑𝐘 𝐒𝐓𝐘𝐋𝐄𝐒 • singer/songwriter/actor • 26. aquarius • NSFW ! 18+ • people kisser rt and like?,imperfectminx,3,0,Sat Nov 07 21:08:32 +0000 2020
46,46,46,RT I think they forgot I’m an Aquarius...,GirlsOfAqua,28,0,Sat Nov 07 21:08:25 +0000 2020
47,47,47,RT Aquarius/Taurus/Scorpio/Leo will be crushing on you in secret and act like they don’t want you at all. They’re the types…,Kefromstatefarm,214,0,Sat Nov 07 21:08:24 +0000 2020
48,48,48,i kinda see aquarius,aaamnts,0,1,Sat Nov 07 21:08:17 +0000 2020
49,49,49,"RT Virgo,Aquarius,Pisces,Sagittarius,Leo and Libra dream home",thenotoriousiz,1488,0,Sat Nov 07 21:08:16 +0000 2020
50,50,50,RT I also see that happening very soon. Everything will happen in its divine timing.. when you least expect it 🤗🔮 libra tar…,ShiGorgeous,1,0,Sat Nov 07 21:08:15 +0000 2020
51,51,51,pack it up aquarius sun,discotities,0,0,Sat Nov 07 21:08:12 +0000 2020
52,52,52,i forgot Aquarius existed...,COFFEEJELL1ES,0,0,Sat Nov 07 21:08:10 +0000 2020
53,53,53,"RT 🌟Daily Tarot 🌟 Air Signs: Gemini, Libra, Aquarius •Apply to ☀️🌙 , rising sign, &amp; Venus placements: 🦋November 7th 2020🦋 I…",ShiGorgeous,2,0,Sat Nov 07 21:08:09 +0000 2020
54,54,54,"RT That's totally an Aquarius thing, they cannot fake interest 💀",camMFbrie,67,0,Sat Nov 07 21:08:08 +0000 2020
55,55,55,"🌫️ Air Signs 🌫️ 🌸 Gemini / Libra / Aquarius 🌸 You want balance &amp; stability, love &amp; money, confidence &amp; recognitio…",thewaterbxtch,3,11,Sat Nov 07 21:08:02 +0000 2020
56,56,56,Aquarius 😬,_ImVeryBlessed,0,0,Sat Nov 07 21:08:01 +0000 2020
57,57,57,RT 🚨 Don’t miss Lot 339 at the Yearling Sale Tomorrow ⭐️ daughter of Tapiture ⭐️ Out of Topic of…,Gk3brIj5vZiZGil,3,0,Sat Nov 07 21:08:00 +0000 2020
58,58,58,"RT Gemini ♊ Libra ♎ Aquarius ♒ all I see for your next few months are growth, blessings and happiness. honestly, such good…",thieola,239,0,Sat Nov 07 21:07:59 +0000 2020
59,59,59,RT Do U see 11:11 all the time? It's a sign U are evolving in the Aquarian Age. Aquarius is the 11th sign. Numerology…,MyZodiacLover1,461,0,Sat Nov 07 21:07:55 +0000 2020
60,60,60,RT aquarius 🤝 aries worst zodiac signs,MyZodiacLover1,2,0,Sat Nov 07 21:07:52 +0000 2020
61,61,61,RT aquarius gang tap in! 1/26💗,_brijaa,21,0,Sat Nov 07 21:07:52 +0000 2020
62,62,62,not u putting aquarius at 3rd after LIBRA,glizzywitnobev,0,0,Sat Nov 07 21:07:50 +0000 2020
63,63,63,RT aquarius 🤝 aries worst zodiac signs,yumekorion,2,0,Sat Nov 07 21:07:47 +0000 2020
64,64,64,RT People don’t know that Aquarius girls are healers? Dumb ass hoes,JassSymone,86,0,Sat Nov 07 21:07:45 +0000 2020
65,65,65,Aquarius men are HOES!!!!,Artbyenea,0,0,Sat Nov 07 21:07:44 +0000 2020
66,66,66,RT People don’t know that Aquarius girls are healers? Dumb ass hoes,Tiffyberries__,86,0,Sat Nov 07 21:07:43 +0000 2020
67,67,67,"RT Congratulations Arlene! You have been such a warrior for change in the US and I am so happy for you, your country and…",MyZodiacLover1,1,0,Sat Nov 07 21:07:42 +0000 2020
68,68,68,"RT Gemini ♊ Libra ♎ Aquarius ♒ all I see for your next few months are growth, blessings and happiness. honestly, such good…",mphopen02,239,0,Sat Nov 07 21:07:42 +0000 2020
69,69,69,"RT Preach to yourself. Tell your anxious heart, Jesus is still on the throne.",logic_aquarius,171,0,Sat Nov 07 21:07:41 +0000 2020
70,70,70,"Congratulations Arlene! You have been such a warrior for change in the US and I am so happy for you, your country a…",JoMadelineMoore,1,2,Sat Nov 07 21:07:36 +0000 2020
71,71,71,"RT Gemini ♊ Libra ♎ Aquarius ♒ all I see for your next few months are growth, blessings and happiness. honestly, such good…",jaileneee__,239,0,Sat Nov 07 21:07:35 +0000 2020
72,72,72,RT People don’t know that Aquarius girls are healers? Dumb ass hoes,ulovethediva,86,0,Sat Nov 07 21:07:34 +0000 2020
73,73,73,RT Aquarius girl now: with HER man. like,lilbhawk,7,0,Sat Nov 07 21:07:23 +0000 2020
74,74,74,i_°Seer Energy has Superior Form We do not yet understand electric current This is Aquarius Cycle Ancient Egypt gly…,OneZenTsu,0,0,Sat Nov 07 21:07:17 +0000 2020
75,75,75,"me here as a sag sun, aquarius moon, and cancer rising 🧍🏻‍♀️",BR00KESDAVIS,0,1,Sat Nov 07 21:07:16 +0000 2020
76,76,76,RT February Aquarius &gt;&gt;&gt;&gt; January Aquarius,Kraech_,7,0,Sat Nov 07 21:07:16 +0000 2020
77,77,77,you misspelled aquarius 🥺,PATTINS0NS,0,1,Sat Nov 07 21:07:05 +0000 2020
78,78,78,"RT invitation: dress casual!! wear something comfy!! scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",feeVenus,12,0,Sat Nov 07 21:07:03 +0000 2020
79,79,79,"RT Saturn in Capricorn: “This is the way things are done.” Saturn in Aquarius: “But, why though?” Saturn in Capricorn: “B…",DaBlessedMystic,4,0,Sat Nov 07 21:07:03 +0000 2020
80,80,80,RT new age of aquarius feels brighter.,3arth3Ang3l,9,0,Sat Nov 07 21:07:02 +0000 2020
81,81,81,RT no one: scorpio &amp; aquarius:,666hmu,674,0,Sat Nov 07 21:07:01 +0000 2020
82,82,82,RT I think they forgot I’m an Aquarius...,43wsdgebk,28,0,Sat Nov 07 21:07:00 +0000 2020
83,83,83,"RT ✉️🔮Pisces, Cancer, Aquarius, Aries -sun, moon, rising, venus- you yourself are loyal, kindhearted, &amp; you care deeply abou…",ghostlydaniel,444,0,Sat Nov 07 21:06:58 +0000 2020
84,84,84,"RT Air moons so Libra, Aquarius, Gemini...I hope you are ready to see changes in the 3D. On a large scale, like money flowin…",fffeenaaa,254,0,Sat Nov 07 21:06:58 +0000 2020
85,85,85,RT People don’t know that Aquarius girls are healers? Dumb ass hoes,_kenzzie1,86,0,Sat Nov 07 21:06:52 +0000 2020
86,86,86,aquarius 🤝 aries worst zodiac signs,luvsaiki,2,1,Sat Nov 07 21:06:51 +0000 2020
87,87,87,same omg 😭😭😭,aquarius_reader,0,0,Sat Nov 07 21:06:46 +0000 2020
88,88,88,RT People don’t know that Aquarius girls are healers? Dumb ass hoes,justjurni,86,0,Sat Nov 07 21:06:44 +0000 2020
89,89,89,RT Aquarius girl now: with HER man. like,groovyvamp444,7,0,Sat Nov 07 21:06:41 +0000 2020
