,Unnamed: 0,Unnamed: 0.1,text,user,retweets,favorites,datetime
39,39,39,"RT Capricorn Affirmations: 🌱 I deserve happiness, I am happy. 🌵I am fulfilled in who I am deeply. 🌱 I am proud of mysel…",CarlsDaS,137,0,Sat Nov 07 21:06:43 +0000 2020
40,40,40,"RT Capricorn Affirmations: 🌱 I deserve happiness, I am happy. 🌵I am fulfilled in who I am deeply. 🌱 I am proud of mysel…",AbbyHM09,137,0,Sat Nov 07 21:06:40 +0000 2020
41,41,41,capricorn,shayegng,0,0,Sat Nov 07 21:06:37 +0000 2020
42,42,42,RT Sometimes you have to realize that those with Capricorn placements don’t always use words of affirmation to show their lo…,manisomoody,483,0,Sat Nov 07 21:06:29 +0000 2020
43,43,43,"RT ✉️🔮Capricorn, Gemini, Pisces, Cancer -sun, moon, rising, venus- you know exactly what you need to get to where you’re goi…",PHILLIPJ0RDAN,45,0,Sat Nov 07 21:06:27 +0000 2020
44,44,44,RT new to nsfw twt‼️ -minor -single -switch || top -♑ (Capricorn) -soft/hard kinks -(-14/18+ DNI!) like/rt for a followback…,punksk8erboy,1,0,Sat Nov 07 21:06:19 +0000 2020
45,45,45,"ㅤ ㅤ ㅤㅤㅤㅤㅤㅤ 葉舒華 ╱ 𝟬𝟬 ㅤ ㅤㅤ ⸙ㅤ:ㅤYeh Shuhua (葉舒華) ㅤㅤ ⸙ㅤ:ㅤYoo Su Hwa (유수화) ㅤㅤ ⸙ㅤ:ㅤJanuary 6, 2000 ㅤㅤ ⸙ㅤ:ㅤCapricorn ㅤㅤ…",glcovs,0,0,Sat Nov 07 21:06:17 +0000 2020
46,46,46,i meant capricorn men,eexdore,0,0,Sat Nov 07 21:06:15 +0000 2020
47,47,47,why is he actually attractive,M1CACA,0,1,Sat Nov 07 21:06:13 +0000 2020
48,48,48,"RT love —— aries, libra, pisces &amp; capricorn 💌 you are awaiting for someone to make the move and finally confess their feeli…",offtheoceann,63,0,Sat Nov 07 21:06:11 +0000 2020
49,49,49,"RT 💌 Capricorn, Taurus , Virgo “I’m coming up! I want the world to know” those are the song lyrics that are popping in m…",Zama_Nkosi,74,0,Sat Nov 07 21:06:10 +0000 2020
50,50,50,RT Top 5 funniest signs. 😂😭 1. Capricorn 2. SAGITTARIUS 3. ARIES 4. Pisces 5. TAURUS,anyeaxoxo,1518,0,Sat Nov 07 21:05:37 +0000 2020
51,51,51,RT Capricorn women,Unruly_Kayy,167,0,Sat Nov 07 21:05:18 +0000 2020
52,52,52,RT Top 5 funniest signs. 😂😭 1. Capricorn 2. SAGITTARIUS 3. ARIES 4. Pisces 5. TAURUS,czhatae,1518,0,Sat Nov 07 21:05:18 +0000 2020
53,53,53,"capricorn, Scorpios ,aries and Gemini’s",4pfchriiss,0,0,Sat Nov 07 21:05:12 +0000 2020
54,54,54,If not for a Capricorn(We hoe on the low) Its Aquarius,SmolWorldtuday,0,0,Sat Nov 07 21:05:09 +0000 2020
55,55,55,RT Affirm: Aries • Cancer • Libra • Capricorn I am stepping into a period of wealth where everything works out in my fav…,alyssao_O,4824,0,Sat Nov 07 21:04:33 +0000 2020
56,56,56,RT Top 5 funniest signs. 😂😭 1. Capricorn 2. SAGITTARIUS 3. ARIES 4. Pisces 5. TAURUS,coca_monet,1518,0,Sat Nov 07 21:04:33 +0000 2020
57,57,57,You put Capricorn too low,indigocherryy,0,1,Sat Nov 07 21:04:15 +0000 2020
58,58,58,RT signs that are the most intelligent: -Capricorn -Gemini -Virgo -Scorpio -Aries,ItsShantricee,131,0,Sat Nov 07 21:04:07 +0000 2020
59,59,59,Sagittarius ☀️ Capricorn ⬆️ Libra 🌙 You?,xMimiSuzukix,0,1,Sat Nov 07 21:03:50 +0000 2020
60,60,60,"RT Aries, Capricorn, Libra, Cancer 🌟 Stop procrastinating and waiting. If you’re wanting to do something then just do it. Wh…",JulySEVYNTH,31,0,Sat Nov 07 21:03:43 +0000 2020
61,61,61,RT o teu signo tá na blusa do namjoon????????????????????? Virgo Aquarius Pisces Libra Sagittarius Capricorn,jkljmbusan,138,0,Sat Nov 07 21:03:34 +0000 2020
62,62,62,My Capricorn friend said if I get touched by a white man he starting a race war 😂😂😂😭😭,Xevsymeedrome,0,0,Sat Nov 07 21:02:59 +0000 2020
63,63,63,"RT Capricorn Affirmations: 🌱 I deserve happiness, I am happy. 🌵I am fulfilled in who I am deeply. 🌱 I am proud of mysel…",mosthateditgirl,137,0,Sat Nov 07 21:02:55 +0000 2020
64,64,64,imma capricorn says a lot,Dey0naaaa,0,0,Sat Nov 07 21:02:54 +0000 2020
65,65,65,RT My Capricorn stellium says,wynnboslice,1,0,Sat Nov 07 21:02:44 +0000 2020
66,66,66,"RT 🌷 Earth Signs 🌷 🌸 Taurus / Virgo / Capricorn 🌸 You're whole, you're one with the Universe &amp; both your bright &amp; shadow s…",Anto_tiky,4,0,Sat Nov 07 21:02:37 +0000 2020
67,67,67,RT o teu signo tá na blusa do namjoon????????????????????? Virgo Aquarius Pisces Libra Sagittarius Capricorn,drwnhyx,138,0,Sat Nov 07 21:02:34 +0000 2020
68,68,68,"Love Horoscope for Nov 7, 2020 =&gt; Read the rest at: How did we do? Capricorn…",capricorn_scope,1,3,Sat Nov 07 21:02:26 +0000 2020
69,69,69,RT Top 5 funniest signs. 😂😭 1. Capricorn 2. SAGITTARIUS 3. ARIES 4. Pisces 5. TAURUS,jaysimone11,1518,0,Sat Nov 07 21:02:05 +0000 2020
70,70,70,RT signs that are the most intelligent: -Capricorn -Gemini -Virgo -Scorpio -Aries,Hootlett,131,0,Sat Nov 07 21:02:02 +0000 2020
71,71,71,"Capricorn, chamomile",perlvwrites,0,1,Sat Nov 07 21:01:58 +0000 2020
72,72,72,RT Tarot Major Arcana Astrology Aries - The Emperor Taurus - The Hierophant Gemini - The Lovers Cancer - The Chariot Le…,ShiGorgeous,26,0,Sat Nov 07 21:01:54 +0000 2020
73,73,73,RT Capricorn takes great care in their appearance &amp; the appearance of their lover.,bunmixworldz,196,0,Sat Nov 07 21:01:49 +0000 2020
74,74,74,"RT Might just be the Capricorn in me but like, can people not work on themselves for themselves or?",simplylatavia,97,0,Sat Nov 07 21:01:48 +0000 2020
75,75,75,I wish I was having celebratory sex right now 💔,kinky_capricorn,1,4,Sat Nov 07 21:01:33 +0000 2020
76,76,76,why is this video so funny,best_capricorn,0,2,Sat Nov 07 21:01:24 +0000 2020
77,77,77,RT A massive Cha-Cha slide has now broken out. The mood is all celebratory down here at BLM Plaza in DC. Election2…,Dec28_Capricorn,31,0,Sat Nov 07 21:01:20 +0000 2020
78,78,78,"RT and this, my friends, is capricorn energy",curly_halani,922,0,Sat Nov 07 21:01:18 +0000 2020
79,79,79,"RT Capricorn,Taurus,Virgo and Aquarius dream home.",9kyubii,395,0,Sat Nov 07 21:01:10 +0000 2020
80,80,80,Can't wait to tell my mom my friend has capricorn placements 😳 she's gonna hate him before she meets him lmfao,kinky_wood,0,1,Sat Nov 07 21:00:53 +0000 2020
81,81,81,help a capricorn manage thier emotions and they will give you the world you seek,sunxstargod,1,4,Sat Nov 07 21:00:46 +0000 2020
82,82,82,"RT Might just be the Capricorn in me but like, can people not work on themselves for themselves or?",gelairis,97,0,Sat Nov 07 21:00:45 +0000 2020
83,83,83,"RT You could also have Virgo, Capricorn, Gemini or Aries placements. The numbers 1, 4, 6, 41, 4105, 40, 24, 46, 1234 could…",mahlee0312,7,0,Sat Nov 07 21:00:45 +0000 2020
84,84,84,RT Top 5 funniest signs. 😂😭 1. Capricorn 2. SAGITTARIUS 3. ARIES 4. Pisces 5. TAURUS,cassy_casanova,1518,0,Sat Nov 07 21:00:43 +0000 2020
85,85,85,RT Top 5 funniest signs. 😂😭 1. Capricorn 2. SAGITTARIUS 3. ARIES 4. Pisces 5. TAURUS,AestheticAces,1518,0,Sat Nov 07 21:00:42 +0000 2020
86,86,86,me vs my ult leena taehyung 21 24 168cm 179cm virgo.…,vmire,0,0,Sat Nov 07 21:00:38 +0000 2020
87,87,87,RT i 100% believe that capricorn is the most misunderstood sign.,GodisfirstYoung,718,0,Sat Nov 07 21:00:32 +0000 2020
88,88,88,"RT and this, my friends, is capricorn energy",bitchinwitchh,922,0,Sat Nov 07 21:00:29 +0000 2020
89,89,89,"Today will illustrate the balance between lighter, more playfu... More for Capricorn",RohanStarz,0,0,Sat Nov 07 21:00:25 +0000 2020
90,90,90,"Today will illustrate the balance between lighter, more playfu... More for Capricorn",maxwell_trice,0,0,Sat Nov 07 21:00:24 +0000 2020
91,91,91,"Today will illustrate the balance between lighter, more playfu... More for Capricorn",nicekittieBKN,0,0,Sat Nov 07 21:00:24 +0000 2020
92,92,92,"Today will illustrate the balance between lighter, more playfu... More for Capricorn",daisjha_parks,0,0,Sat Nov 07 21:00:24 +0000 2020
93,93,93,"Today will illustrate the balance between lighter, more playfu... More for Capricorn",ayyo_savageee,0,0,Sat Nov 07 21:00:24 +0000 2020
94,94,94,"Today will illustrate the balance between lighter, more playfu... More for Capricorn",ohsnapitskar,0,0,Sat Nov 07 21:00:24 +0000 2020
95,95,95,"Today will illustrate the balance between lighter, more playfu... More for Capricorn",Undrezmee,0,0,Sat Nov 07 21:00:24 +0000 2020
96,96,96,"Today will illustrate the balance between lighter, more playfu... More for Capricorn",Nesh_Da_Body,0,0,Sat Nov 07 21:00:24 +0000 2020
97,97,97,"Today will illustrate the balance between lighter, more playfu... More for Capricorn",alize4evrnkotb,0,0,Sat Nov 07 21:00:24 +0000 2020
98,98,98,"Today will illustrate the balance between lighter, more playfu... More for Capricorn",InglewoodMike89,0,0,Sat Nov 07 21:00:24 +0000 2020
99,99,99,"Today will illustrate the balance between lighter, more playfu... More for Capricorn",dasoundboy,0,0,Sat Nov 07 21:00:24 +0000 2020
