,count,mean,std,min,25%,50%,75%,max
aquarius,100.0,0.622123183157489,1.826073068197188,-2.8814107761372223,-0.003512975014111246,0.0,0.9581885587554834,4.97107795109929
aries,100.0,0.622123183157489,1.826073068197188,-2.8814107761372223,-0.003512975014111246,0.0,0.9581885587554834,4.97107795109929
cancer,100.0,0.622123183157489,1.826073068197188,-2.8814107761372223,-0.003512975014111246,0.0,0.9581885587554834,4.97107795109929
capricorn,100.0,0.622123183157489,1.826073068197188,-2.8814107761372223,-0.003512975014111246,0.0,0.9581885587554834,4.97107795109929
gemini,100.0,0.622123183157489,1.826073068197188,-2.8814107761372223,-0.003512975014111246,0.0,0.9581885587554834,4.97107795109929
leo,100.0,0.622123183157489,1.826073068197188,-2.8814107761372223,-0.003512975014111246,0.0,0.9581885587554834,4.97107795109929
libra,100.0,0.622123183157489,1.826073068197188,-2.8814107761372223,-0.003512975014111246,0.0,0.9581885587554834,4.97107795109929
pisces,100.0,0.622123183157489,1.826073068197188,-2.8814107761372223,-0.003512975014111246,0.0,0.9581885587554834,4.97107795109929
sagittarius,100.0,0.622123183157489,1.826073068197188,-2.8814107761372223,-0.003512975014111246,0.0,0.9581885587554834,4.97107795109929
scorpio,100.0,0.622123183157489,1.826073068197188,-2.8814107761372223,-0.003512975014111246,0.0,0.9581885587554834,4.97107795109929
taurus,100.0,0.622123183157489,1.826073068197188,-2.8814107761372223,-0.003512975014111246,0.0,0.9581885587554834,4.97107795109929
virgo,100.0,0.622123183157489,1.826073068197188,-2.8814107761372223,-0.003512975014111246,0.0,0.9581885587554834,4.97107795109929
zodiac,100.0,0.622123183157489,1.826073068197188,-2.8814107761372223,-0.003512975014111246,0.0,0.9581885587554834,4.97107795109929
